Date/Time,Electricity:Facility [J](Hourly),CO2:Facility [kg](Hourly),CO:Facility [kg](Hourly),CH4:Facility [kg](Hourly),NOx:Facility [kg](Hourly),N2O:Facility [kg](Hourly),SO2:Facility [kg](Hourly),PM:Facility [kg](Hourly),PM10:Facility [kg](Hourly),PM2.5:Facility [kg](Hourly),NH3:Facility [kg](Hourly),NMVOC:Facility [kg](Hourly),Hg:Facility [kg](Hourly),Pb:Facility [kg](Hourly),WaterEnvironmentalFactors:Facility [L](Hourly),Nuclear High:Facility [kg](Hourly),Nuclear Low:Facility [m3](Hourly),Carbon Equivalent:Facility [kg](Hourly) 
 01/02  14:00:00,866110968.1784079,145.7952048452405,0.036430013099132914,0.001211323745653021,0.3557576785121855,0.002095261009778477,0.7498191145920611,0.02562190093833138,0.015628972420779368,0.009992928517552015,0.0009599714137999019,0.003224808290038029,0.0000029137185524877086,0.0,1819.4739552911083,0.0,0.0,39.93509518634502 
 01/02  15:00:00,859320379.1265047,144.65212346396638,0.03614439005866739,0.0012018265771979884,0.35296842368734915,0.0020788334883676753,0.743940291141568,0.02542101697958565,0.015506436241337775,0.009914580738247872,0.0009524449286124441,0.0031995247540092973,0.000002890874060234639,0.0,1805.2086932462134,0.0,0.0,39.62199117297658 
 01/02  16:00:00,853519079.5511528,143.67557231632773,0.035900378116448764,0.001193713007240492,0.35058552248287467,0.0020647992164869668,0.738917926258899,0.025249398874637886,0.01540175179050055,0.009847647084137334,0.0009460149422021113,0.003177924659274398,0.000002871357676281215,0.0,1793.0216711762887,0.0,0.0,39.35450183355228 
 01/02  17:00:00,848429928.257857,142.81889934651764,0.035686320270410674,0.0011865954322030168,0.3484951383216995,0.0020524877452442773,0.7345120902206027,0.025098848038673703,0.015309918055413025,0.009788929983260676,0.000940374279583161,0.003158976120481044,0.000002854237058849387,0.0,1782.3306874884104,0.0,0.0,39.119848597670824 
 01/02  18:00:00,842000751.5896649,141.73665565747086,0.035415898813063854,0.0011776037271567703,0.34585433471770965,0.002036934538215654,0.7289461526744723,0.024908655634051584,0.015193903562435503,0.009714752071616078,0.000933248373039437,0.0031350382384088315,0.0000028326084084528554,0.0,1768.8246588944728,0.0,0.0,38.82340877454508 
 01/02  19:00:00,785301124.0998733,132.19222762429507,0.033031021761439225,0.0010983048755413526,0.32256479262739524,0.0018997690673774495,0.6798595274681074,0.023231327563909325,0.01417075878438221,0.009060568779527108,0.0008704042069185766,0.0029239273813835404,0.0000026418629236293475,0.0,1649.7134834415679,0.0,0.0,36.209072847594065 
 01/02  20:00:00,792817854.9608548,133.4575427581609,0.033347187488221484,0.001108817609955442,0.32565231237873593,0.0019179532420071014,0.6863669943931157,0.02345369275795048,0.014306398192768622,0.009147294565181853,0.0008787355259029625,0.0029519145757328498,0.0000026671502585880097,0.0,1665.504180630466,0.0,0.0,36.5556581853306 
 01/02  21:00:00,789762316.1479214,132.9431942237218,0.03321866663688741,0.0011045442005935277,0.32439724064470715,0.0019105614047324056,0.6837217197210561,0.023363301669909117,0.01425126099488924,0.009112040675019872,0.0008753488583488717,0.002940537826959879,0.0000026568709982458686,0.0,1659.0852880245845,0.0,0.0,36.41477181184811 
 01/02  22:00:00,786563639.5209703,132.40475084730218,0.03308412518007524,0.0011000706018339593,0.32308337462415704,0.0019028232941835505,0.6809525262061291,0.023268676178857008,0.014193540875155904,0.009075135303701097,0.0008718035411358579,0.0029286281303012186,0.0000026461102022580764,0.0,1652.3657000872831,0.0,0.0,36.26728556555765 
 01/02  23:00:00,783726358.7931759,131.92714238821267,0.03296478461301504,0.0010961024434282423,0.32191795305337334,0.0018959594581380995,0.678496204324375,0.023184741754270884,0.014142342144422858,0.009042399609848024,0.0008686587842955924,0.0029180640262218074,0.0000026365651926704747,0.0,1646.4053109711763,0.0,0.0,36.13646274943149 
 01/02  24:00:00,781062420.152216,131.47871315209443,0.03285273509147445,0.0010923767174516458,0.32082373226478317,0.001889514964335435,0.6761899500607982,0.02310593525663696,0.014094271371646736,0.009011663884990223,0.0008657061546241116,0.002908145330201149,0.000002627603330130876,0.0,1640.8090685105662,0.0,0.0,36.013632480440606 
 01/03  01:00:00,708692204.8736604,119.29640540067271,0.029808728044513948,0.000991161326507794,0.2910974492284706,0.0017144398343421643,0.613536811217479,0.020965028889116034,0.0127883508369452,0.008176678052170832,0.0007854931791158189,0.002638687860250197,0.000002384139794103676,0.0,1488.7780624662932,0.0,0.0,32.67674893781114 
 01/03  02:00:00,729280465.5299377,122.76209258173012,0.030674703228934022,0.0010199556149199291,0.29955413905781847,0.001764246130991404,0.6313607067036984,0.021574085227632486,0.013159866000487724,0.008414219227144762,0.000808312589579417,0.0027153445429169273,0.0000024534015853078844,0.0,1532.0286451573613,0.0,0.0,33.62604317288928 
 01/03  03:00:00,724844218.0766783,122.01532498501854,0.030488107563054007,0.0010137511768292442,0.2977319371076498,0.0017535141386023768,0.6275201097597407,0.021442849050096947,0.013079813915193656,0.00836303513490329,0.0008033955859896478,0.0026988269740492576,0.0000024384774278004758,0.0,1522.709242682401,0.0,0.0,33.42149436699123 
 01/03  04:00:00,720573018.6755248,121.29634045012028,0.03030845408232245,0.001007777571313178,0.29597752914002784,0.0017431814238590827,0.6238224000309808,0.02131649543957245,0.013002740121999843,0.008313755317572603,0.0007986615167093914,0.0026829239318949547,0.0000024241085150470797,0.0,1513.736563252422,0.0,0.0,33.22455568255954 
 01/03  05:00:00,716504577.3540823,120.6114868255229,0.03013732893083647,0.0010020875387867177,0.2943064046619214,0.001733339213351902,0.6203002242573271,0.021196139960492612,0.012929325098354413,0.008266814862138195,0.0007941521784019443,0.0026677758229540017,0.0000024104217088599623,0.0,1505.189825830815,0.0,0.0,33.03696587316874 
 01/03  06:00:00,713074815.5339775,120.03414414599968,0.029993067661063945,0.0009972907493598791,0.29289761970502787,0.0017250420707471772,0.617330973127046,0.021094678345496994,0.012867435046310622,0.008227243299186372,0.0007903507332933947,0.002655005722173969,0.0000023988835099304752,0.0,1497.984787984848,0.0,0.0,32.87882463055124 
 01/03  07:00:00,810095452.6192938,136.36593554199052,0.03407391088989168,0.0011329816779333864,0.33274913744973267,0.0019597505151584906,0.7013247462915538,0.023964810746200778,0.014618172442515152,0.009346638303685624,0.0008978854968196467,0.0030162446006464687,0.0000027252745159746706,0.0,1701.7999211354552,0.0,0.0,37.35230264825928 
 01/03  08:00:00,820494073.3179604,138.1163683278247,0.03451129351427072,0.0011475249600728862,0.3370204020975721,0.001984906442407877,0.7103271545876311,0.02427243002274323,0.014805815553022593,0.00946661446972063,0.0009094110160434278,0.0030549619930662283,0.0000027602569318118834,0.0,1723.644719581972,0.0,0.0,37.83176766217239 
 01/03  09:00:00,900351776.4884186,151.55906865142694,0.03787023628194525,0.001259212186857619,0.3698221932479473,0.0021780950036097224,0.779462443811095,0.026634836498323933,0.016246847806733508,0.010387988691590425,0.0009979228985064683,0.003352297776434858,0.000003028909425355748,0.0,1891.4049909402802,0.0,0.0,41.513888192504034 
 01/03  10:00:00,902808421.5136727,151.97260349609274,0.03797356670233949,0.0012626479965437492,0.3708312675620056,0.0021840380209890166,0.7815892375654534,0.026707510691112525,0.016291177966214224,0.010416332724898301,0.0010006457701531096,0.003361444651990288,0.000003037173923151007,0.0,1896.5657634106328,0.0,0.0,41.62716045960039 
 01/03  11:00:00,892742136.7246034,150.2781138674259,0.03755016265805557,0.0012485695120960222,0.36669651088604105,0.0021596860674786915,0.7728745427687277,0.026409722808082927,0.016109531857195467,0.010300190950887456,0.0009894886020814489,0.00332396465250945,0.000003003309531840707,0.0,1875.4191163028433,0.0,0.0,41.16301896273214 
 01/03  12:00:00,885049066.1771501,148.98311491513945,0.03722657980191681,0.0012378101528759062,0.3635365590794629,0.0021410752989331145,0.7662144131106103,0.02618214100999878,0.01597071039916667,0.010211430610832104,0.0009809618334787678,0.0032953208890787065,0.0000029774289654891975,0.0,1859.2579752809863,0.0,0.0,40.808302862976504 
 01/03  13:00:00,884293887.1893741,148.8559932422097,0.03719481576540458,0.0012367539761575402,0.3632263670446969,0.0021392484001330463,0.7655606312503439,0.026159800776557097,0.01595708319433225,0.010202717582224841,0.0009801248157440866,0.0032925091160499404,0.0000029748884376492605,0.0,1857.6715405742057,0.0,0.0,40.773482677264056 
 01/03  14:00:00,865360439.7676187,145.6688660186773,0.03639844467332967,0.0012102740731293165,0.3554493967158686,0.0020934453614682323,0.7491693588804603,0.025599698281513532,0.015615429135606677,0.009984269145906853,0.0009591395506252355,0.00322201383259557,0.0000029111936698398365,0.0,1817.8972902374271,0.0,0.0,39.90048943185614 
 01/03  15:00:00,858685137.2639885,144.5451911875323,0.036117670769542976,0.0012009381419043942,0.3527074961865951,0.0020772967366635506,0.74339034256869,0.02540222481013939,0.01549497330192867,0.009907251508210719,0.0009517408455892868,0.0031971595452777533,0.000002888737017675274,0.0,1803.8742152559512,0.0,0.0,39.592701110642764 
 01/03  16:00:00,857486548.7808436,144.343428988639,0.03606725622020032,0.0011992618224208145,0.3522151723713777,0.0020743971593486657,0.7423526873625884,0.025366767326619064,0.01547334477275032,0.009893422553868738,0.0009504123660722236,0.00319269681680669,0.0000028847047982155868,0.0,1801.3562924858693,0.0,0.0,39.53743596919754 
 01/03  17:00:00,847533389.3145232,142.66798210415783,0.03564861040799174,0.0011853415525607271,0.34812688226110833,0.0020503188740941224,0.7337359286646514,0.025072325996074746,0.01529374001018057,0.009778585985894175,0.0009393805827145382,0.003155638019102551,0.0000028512209763285605,0.0,1780.4472922685914,0.0,0.0,39.07851051357336 
 01/03  18:00:00,841078527.0719287,141.58141468094857,0.035377108574288635,0.0011763139242352038,0.3454755282303759,0.002034703529551327,0.7281477543205079,0.02488137374281075,0.015177262021012952,0.009704111721797791,0.0009322262070507137,0.003131604501417453,0.0000028295059160637583,0.0,1766.8873049610834,0.0,0.0,38.78088636661802 
 01/03  19:00:00,783885664.8247135,131.9539588775015,0.032971485279591164,0.001096325245339218,0.3219833884837455,0.0018963448449173539,0.6786341204943639,0.02318945445681005,0.014145216821761952,0.009044237635048096,0.0008688353543217678,0.002918657173555152,0.0000026371011204634113,0.0,1646.7399715238687,0.0,0.0,36.14380811482571 
 01/03  20:00:00,791498690.5585942,133.23548363257723,0.033291701322799364,0.0011069726556440572,0.3251104616430142,0.0019147619722517288,0.6852249528759822,0.023414668313187725,0.01428259387112983,0.00913207444205789,0.0008772734036544291,0.0029470029045306247,0.000002662712404855789,0.0,1662.732959204061,0.0,0.0,36.49483346666723 
 01/03  21:00:00,788871171.7958293,132.79318507000653,0.03318118367960745,0.0011032978657078672,0.32403120042865224,0.0019084055839615984,0.6829502284299751,0.02333693921388448,0.014235180295055737,0.00910175891882874,0.0008743611406833433,0.002937219811370847,0.000002653873063885221,0.0,1657.2132254383705,0.0,0.0,36.37368246437059 
 01/03  22:00:00,785598354.7931788,132.24226140912046,0.03304352375996877,0.0010987205758499342,0.3226868810263625,0.0019004881159814665,0.6801168492934534,0.023240120450340167,0.014176122312242906,0.009063998138097256,0.0008707336485021156,0.0029250340663685382,0.0000026428628492939238,0.0,1650.3378878482222,0.0,0.0,36.22277771505974 
 01/03  23:00:00,782788217.7742037,131.76922213658204,0.03292532490073144,0.00109479038003821,0.3215326088154074,0.0018936899449106426,0.6776840265618791,0.023156989009948933,0.014125413389735502,0.00903157562021343,0.0008676189769343941,0.0029145710270030477,0.0000026334091549429095,0.0,1644.4345206069804,0.0,0.0,36.09320645518358 
