,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Site:Environmental Impact Total CO2 Emissions Carbon Equivalent Mass [kg](Hourly),WEST ZONE:Zone Air Temperature [C](TimeStep),EAST ZONE:Zone Air Temperature [C](TimeStep),WEST ZONE DEC OUTLET NODE:System Node Setpoint Temperature [C](TimeStep),EAST AIR LOOP OUTLET NODE:System Node Setpoint Temperature [C](TimeStep),WEST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly),EAST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly)
93, 01/04  22:00:00,8.9,140727.7538164031,23.256111264876697,36.42267691272502,38.20369336881374,18.336078,17.61997,3.20865475,3.0837924999999995
94, 01/04  23:00:00,7.2,139457.01527659633,23.046114046354557,36.41096258769659,38.17427718173958,18.331046,17.626949,3.2076415000000003,3.0838565
95, 01/05  00:00:00,8.3,139430.14289439103,23.04167322289528,36.40115069813214,38.1762935744019,18.34006,17.629894,3.20928275,3.0853822500000003
96, 01/05  01:00:00,7.8,109004.02191841695,18.01357296842099,33.03904669410926,34.70572135176938,19.6755,19.008886,3.365326,3.2483765
97, 01/05  02:00:00,7.8,116107.7263071929,19.18750302257148,33.34763786580716,34.90356247159124,19.567334,18.934126,3.4356745,3.3223112500000003
98, 01/05  03:00:00,5.0,113392.4591675714,18.738788728479324,33.04020795411478,34.638549886883006,19.6584,19.029177,3.43089925,3.32241
99, 01/05  04:00:00,3.9,116464.70631623732,19.24649612510123,33.103756572846635,34.68610636906997,19.668982,19.029577,3.4442655,3.3319475
100, 01/05  05:00:00,4.4,115229.88858929071,19.04243503785346,33.02449081377936,34.60263467073067,19.677466,19.050535,3.44127125,3.33140725
101, 01/05  06:00:00,3.9,113860.8747743734,18.8161972365708,32.99549113426523,34.57980906132673,19.702819,19.067205,3.4472607500000003,3.3362295
102, 01/05  07:00:00,6.1,139298.23388367082,23.01987446218919,35.538766837402875,37.22276890413098,18.653335,17.982784,3.32379925,3.206955
103, 01/05  08:00:00,6.7,135472.42982537957,22.387637235029903,35.503046756760185,37.23430571439392,18.722253,18.033727,3.27517325,3.1561760000000003
104, 01/05  09:00:00,7.2,160052.1140162791,26.44957850032467,38.56253687463537,40.4112941464082,17.490784,16.757018,3.1358897500000005,3.00831775
105, 01/05  10:00:00,7.2,157288.8410953133,25.99293096092714,38.5918514471747,40.48123217095132,17.478538,16.73759,3.0592775000000003,2.93037
106, 01/05  11:00:00,8.3,160103.89350651574,26.45813537381639,38.85479207026039,40.746438350167296,17.378552,16.61547,3.0486672500000003,2.9151450000000003
107, 01/05  12:00:00,8.9,159779.28427191812,26.404491737272195,38.93600196775392,40.86793195229178,17.331367,16.566674,3.0349915000000003,2.90231125
108, 01/05  13:00:00,9.4,159607.7375440828,26.3761426044148,39.07326283414709,41.02814108842622,17.286949,16.504064,3.0288795,2.89251875
109, 01/05  14:00:00,10.6,160327.856884964,26.49514667476592,39.132262772497896,41.09423769911125,17.245818,16.463937,3.0197685,2.88304575
110, 01/05  15:00:00,11.1,156322.74566122983,25.833277855564237,39.04876438108364,41.0352081703692,17.270902,16.476905,3.020157,2.881958
111, 01/05  16:00:00,10.0,153806.16002932243,25.417396880589088,38.97043436685192,40.93604338763665,17.300598,16.511516,3.02583525,2.8871904999999995
112, 01/05  17:00:00,10.6,153947.5806970501,25.44076750006276,38.84666792951598,40.79110308400125,17.355323,16.576034,3.0334205,2.89646225
113, 01/05  18:00:00,9.4,160555.85335443952,26.53282446836617,38.932945172260425,40.86268035746581,17.338281,16.564147,3.03665175,2.90086375
114, 01/05  19:00:00,8.9,134651.24446677815,22.2519313948469,36.30217057615079,38.13251778126739,18.335426,17.600627,3.14439625,3.0149
115, 01/05  20:00:00,8.9,140389.9638182302,23.200289427544448,36.56904832848233,38.31162142400103,18.298758,17.5941,3.2117485,3.08634975
116, 01/05  21:00:00,7.8,139511.96016439318,23.055194020911006,36.45834400494719,38.2125694547125,18.299235,17.608198,3.198875,3.0781345
117, 01/05  22:00:00,8.3,140716.08037590314,23.254182158330558,36.46213835499298,38.23173353201245,18.321248,17.609199,3.20645,3.0823635
118, 01/05  23:00:00,7.8,139423.4622496706,23.040569206006463,36.44301702778564,38.19272278361069,18.317286,17.619051,3.2050055,3.0821792500000003
119, 01/06  00:00:00,7.2,138000.04150529805,22.80534033103238,36.411776136350994,38.17440222103316,18.333918,17.62868,3.20759125,3.08458025
120, 01/06  01:00:00,7.2,109011.65065157392,18.01483366265008,33.06641044955921,34.72461925875072,19.666465,19.003531,3.36426875,3.24808625
121, 01/06  02:00:00,6.7,116100.81957251015,19.186361642950875,33.37172133365903,34.91858446397592,19.556662,18.926963,3.4337025,3.3209280000000003
122, 01/06  03:00:00,6.7,113368.21991698598,18.73478304592344,33.119892317986924,34.714274692798725,19.634454,19.007293,3.4282185,3.32023325
123, 01/06  04:00:00,6.7,117679.2984110424,19.447214804481835,33.16431877129558,34.73974917878487,19.639356,19.002302,3.4385202500000003,3.326513
124, 01/06  05:00:00,6.1,113582.5877110283,18.77020861859589,33.09515565058528,34.67240327456105,19.65303,19.025645,3.43728475,3.327589
125, 01/06  06:00:00,6.1,113592.8496609078,18.77190446779209,33.03412211858289,34.61133044549459,19.67974,19.046822,3.44245675,3.3317110000000003
126, 01/06  07:00:00,5.6,139240.4312896066,23.010322234412516,35.56965806095271,37.246678196112406,18.638374,17.97043,3.3211645,3.20478925
127, 01/06  08:00:00,5.0,135433.98384158747,22.38128380400788,35.50685580778157,37.23034907687287,18.720351,18.034966,3.27396825,3.155494
128, 01/06  09:00:00,5.6,160060.00644613098,26.450882772025214,38.62826130883451,40.4704828200534,17.470012,16.739168,3.13399375,3.006936
129, 01/06  10:00:00,6.1,157237.29762726638,25.98441309152775,38.63647006203488,40.514737646827655,17.451292,16.715552,3.05428275,2.92606625
130, 01/06  11:00:00,6.7,160014.85128920604,26.44342060962192,38.80010982339921,40.70019404584329,17.394186,16.62949,3.0485637500000005,2.9153475
