,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Site:Environmental Impact Total CO2 Emissions Carbon Equivalent Mass [kg](Hourly),WEST ZONE:Zone Air Temperature [C](TimeStep),EAST ZONE:Zone Air Temperature [C](TimeStep),WEST ZONE DEC OUTLET NODE:System Node Setpoint Temperature [C](TimeStep),EAST AIR LOOP OUTLET NODE:System Node Setpoint Temperature [C](TimeStep),WEST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly),EAST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly),Site:Environmental Impact Electricity CO Emissions Mass [kg](Hourly),CH4:Facility [kg](Hourly),PM2.5:Facility [kg](Hourly),SO2:Facility [kg](Hourly),NOx:Facility [kg](Hourly),Reward
78, 01/04  07:00:00,5,106249.0612,17.55829907,22.18367284,23.29921205,15.471548,15.126094,6.238913033,6.475,0.01608842,0.000534951,0.004413131,0.331139182,0.157111634,0.439148274
79, 01/04  08:00:00,6.7,108777.7175,17.9761748,20.43469596,23.58666595,15.439291,15.080855,6.238913033,6.475,0.016471313,0.000547683,0.004518161,0.339020072,0.160850786,0.592895082
80, 01/04  09:00:00,8.3,129267.7864,21.36228244,23.57070039,24.61118448,14.966943,14.611854,6.238913033,6.475,0.019573956,0.000650848,0.005369231,0.402880068,0.191149672,0.185293635
81, 01/04  10:00:00,8.9,132229.2218,21.85167751,23.37849799,24.88677969,14.916218,14.554669,6.238913033,6.475,0.020022381,0.000665758,0.005492236,0.412109771,0.195528778,-0.171255803
82, 01/04  11:00:00,8.9,131070.3289,21.66016347,23.81254425,24.87358281,14.92344,14.561744,6.238913033,6.475,0.0198469,0.000659923,0.0054441,0.408497929,0.193815111,-0.130077702
83, 01/04  12:00:00,10,133818.784,22.11436227,23.69956835,24.93145614,14.885692,14.526681,6.238913033,6.475,0.020263076,0.000673762,0.00555826,0.417063851,0.197879281,-0.211973214
84, 01/04  13:00:00,10.6,132284.6635,21.86083959,23.87867978,24.95789253,14.889996,14.521271,6.238913033,6.475,0.020030777,0.000666038,0.005494539,0.412282562,0.195610761,-0.224156414
85, 01/04  14:00:00,10.6,134141.5008,22.16769318,24.01941554,24.96001347,14.874626,14.511538,6.238913033,6.475,0.020311942,0.000675386,0.005571664,0.41806964,0.198356486,-0.177635057
86, 01/04  15:00:00,10,128024.9083,21.15688933,23.69416809,24.91824416,14.896956,14.530178,6.238913033,6.475,0.019385757,0.00064459,0.005317607,0.399006475,0.189311815,-0.125570946
87, 01/04  16:00:00,10.6,128182.6666,21.18295984,23.69017533,24.89387061,14.901428,14.537396,6.238913033,6.475,0.019409645,0.000645384,0.005324159,0.399498149,0.189545093,-0.10362859
88, 01/04  17:00:00,10,128211.1528,21.18766735,23.88461995,24.83874263,14.924827,14.56197,6.238913033,6.475,0.019413958,0.000645528,0.005325343,0.39958693,0.189587216,-0.047247167
89, 01/04  18:00:00,10,127776.6811,21.11586828,23.55230053,24.82509178,14.932797,14.570109,6.238913033,6.475,0.01934817,0.00064334,0.005307296,0.398232842,0.188944758,-0.028901913
90, 01/04  19:00:00,9.4,108307.087,17.89840026,21.72641281,23.98654588,15.314431,14.947354,6.238913033,6.475,0.01640005,0.000545313,0.004498613,0.33755329,0.160154859,0.704730391
91, 01/04  20:00:00,9.4,110794.7489,18.30950142,21.40181653,23.7624462,15.344667,15.000601,6.238913033,6.475,0.016776736,0.000557838,0.00460194,0.345306416,0.163833392,0.687745836
92, 01/04  21:00:00,8.9,115003.8786,19.00508552,22.16547305,23.8281409,15.319022,14.962219,6.238913033,6.475,0.01741409,0.000579031,0.004776769,0.358424722,0.170057477,0.652726683
93, 01/04  22:00:00,8.9,110761.8476,18.30406429,22.66419173,23.82195648,15.331892,14.973358,6.238913033,6.475,0.016771754,0.000557673,0.004600573,0.345203874,0.16378474,0.638238137
94, 01/04  23:00:00,7.2,112189.0304,18.53991486,21.49614292,23.81573559,15.328457,14.972929,6.238913033,6.475,0.01698786,0.000564858,0.004659852,0.349651877,0.165895131,0.698264747
95, 01/05  00:00:00,8.3,113577.6926,18.76939967,21.35634032,23.82001119,15.329964,14.971681,6.238913033,6.475,0.017198134,0.00057185,0.004717531,0.353979826,0.167948561,0.640776568
96, 01/05  01:00:00,7.8,80243.94263,13.26079617,19.58625167,22.54072694,15.882727,15.515866,6.238913033,6.475,0.012150679,0.000404019,0.00333299,0.250090807,0.118657585,-0.193203246
97, 01/05  02:00:00,7.8,83090.26649,13.73116837,21.19747732,22.2306384,15.95831,15.619442,6.238913033,6.475,0.012581674,0.00041835,0.003451214,0.25896175,0.122866474,-0.505618329
98, 01/05  03:00:00,5,86060.36703,14.22199543,18.48101015,22.26271869,15.927613,15.580401,6.238913033,6.475,0.013031412,0.000433304,0.003574579,0.268218459,0.127258394,-0.474949167
99, 01/05  04:00:00,3.9,84607.30627,13.98186836,20.42610874,22.26777169,15.95151,15.597435,6.238913033,6.475,0.012811387,0.000425988,0.003514225,0.263689804,0.125109738,-0.535871608
100, 01/05  05:00:00,4.4,83427.33522,13.78687102,19.69516236,22.23829069,15.950366,15.602026,6.238913033,6.475,0.012632714,0.000420047,0.003465214,0.260012269,0.123364902,-0.505629662
101, 01/05  06:00:00,3.9,82073.6158,13.56316071,20.75842555,22.23402433,15.957957,15.605624,6.238913033,6.475,0.012427731,0.000413231,0.003408987,0.255793225,0.121363142,-0.5140962
102, 01/05  07:00:00,6.1,106299.4372,17.56662401,20.87325821,23.2878711,15.479598,15.133867,6.238913033,6.475,0.016096048,0.000535205,0.004415224,0.331296185,0.157186126,0.428620103
103, 01/05  08:00:00,6.7,108787.7446,17.97783184,22.01541943,23.55485931,15.447395,15.089679,6.238913033,6.475,0.016472832,0.000547733,0.004518577,0.339051323,0.160865613,0.574711357
104, 01/05  09:00:00,7.2,129291.3997,21.36618468,22.8348252,24.58066385,14.980546,14.625832,6.238913033,6.475,0.019577531,0.000650967,0.005370211,0.402953662,0.191184589,0.212078109
105, 01/05  10:00:00,7.2,131786.0154,21.77843499,23.69453319,24.85011219,14.933408,14.570908,6.238913033,6.475,0.01995527,0.000663527,0.005473827,0.41072846,0.194873404,-0.125288897
106, 01/05  11:00:00,8.3,130610.788,21.58422156,23.68930463,24.84026905,14.934056,14.572523,6.238913033,6.475,0.019777315,0.00065761,0.005425013,0.407065709,0.193135583,-0.091043875
107, 01/05  12:00:00,8.9,133302.8494,22.02910096,23.97622703,24.87920492,14.91115,14.549666,6.238913033,6.475,0.020184952,0.000671164,0.00553683,0.415455873,0.197116363,-0.143311363
108, 01/05  13:00:00,9.4,133256.7199,22.02147779,23.53592988,24.92679452,14.901474,14.532958,6.238913033,6.475,0.020177967,0.000670932,0.005534914,0.415312104,0.197048151,-0.184848257
109, 01/05  14:00:00,10.6,134067.6846,22.1554946,23.98944294,24.93446353,14.892518,14.525916,6.238913033,6.475,0.020300765,0.000675015,0.005568598,0.417839582,0.198247333,-0.228313322
110, 01/05  15:00:00,11.1,127596.4801,21.08608897,23.94363686,24.90363088,14.903191,14.534675,6.238913033,6.475,0.019320884,0.000642433,0.005299812,0.397671222,0.188678293,-0.103569965
111, 01/05  16:00:00,10,127647.8347,21.09457563,23.90146797,24.86548167,14.914035,14.547514,6.238913033,6.475,0.01932866,0.000642692,0.005301945,0.397831275,0.188754232,-0.066043564
112, 01/05  17:00:00,10.6,127712.0494,21.10518749,23.41361348,24.81897006,14.936762,14.572261,6.238913033,6.475,0.019338383,0.000643015,0.005304612,0.398031409,0.188849187,-0.020489924
113, 01/05  18:00:00,9.4,134195.5703,22.17662848,23.92103214,24.84192493,14.925889,14.563525,6.238913033,6.475,0.020320129,0.000675659,0.00557391,0.418238155,0.198436439,-0.128535213
114, 01/05  19:00:00,8.9,108258.1368,17.89031095,21.9721235,23.97874224,15.31394,14.942579,6.238913033,6.475,0.016392638,0.000545067,0.00449658,0.33740073,0.160082476,0.697230398
115, 01/05  20:00:00,8.9,110738.7904,18.30025394,22.32411251,23.77415852,15.337267,14.996624,6.238913033,6.475,0.016768263,0.000557557,0.004599615,0.345132014,0.163750645,0.698158115
116, 01/05  21:00:00,7.8,115012.11,19.00644581,22.17167583,23.83234501,15.31747,14.961335,6.238913033,6.475,0.017415336,0.000579072,0.004777111,0.358450376,0.170069649,0.654236924
117, 01/05  22:00:00,8.3,110765.8047,18.30471821,22.28023684,23.83266752,15.324919,14.968636,6.238913033,6.475,0.016772353,0.000557693,0.004600737,0.345216207,0.163790592,0.644695307
118, 01/05  23:00:00,7.8,110780.9175,18.30721569,20.54838394,23.82356719,15.323866,14.9699,6.238913033,6.475,0.016774642,0.000557769,0.004601365,0.345263308,0.163812939,0.703005415
119, 01/06  00:00:00,7.2,109384.1082,18.07638453,22.41669713,23.81910569,15.327446,14.971565,6.238913033,6.475,0.016563134,0.000550736,0.004543348,0.340909968,0.161747462,0.699364912
120, 01/06  01:00:00,7.2,80250.01187,13.26179914,19.58400429,22.54936343,15.878803,15.513769,6.238913033,6.475,0.012151598,0.000404049,0.003333242,0.250109723,0.118666559,-0.181978696
121, 01/06  02:00:00,6.7,83086.63992,13.73056906,17.83393523,22.23645221,15.954105,15.617204,6.238913033,6.475,0.012581125,0.000418331,0.003451063,0.258950448,0.122861112,-0.498338489
122, 01/06  03:00:00,6.7,86056.11899,14.22129341,21.25300598,22.29802554,15.914698,15.568909,6.238913033,6.475,0.013030769,0.000433282,0.003574403,0.26820522,0.127252113,-0.436906199
123, 01/06  04:00:00,6.7,83164.94083,13.74350876,20.64804085,22.2920602,15.939009,15.58615,6.238913033,6.475,0.012592982,0.000418726,0.003454316,0.259194483,0.122976896,-0.509760708
124, 01/06  05:00:00,6.1,83246.8877,13.75705098,20.27748979,22.27372861,15.935739,15.588497,6.238913033,6.475,0.01260539,0.000419138,0.003457719,0.259449881,0.123098072,-0.468152828
125, 01/06  06:00:00,6.1,81837.65427,13.52416664,20.30557122,22.24559444,15.948413,15.5977,6.238913033,6.475,0.012392002,0.000412043,0.003399186,0.255057819,0.121014223,-0.498104683
