,Unnamed: 0_our,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep)_our,Whole Building:Facility Total Electricity Demand Rate [W](Hourly)_our,Site:Environmental Impact Total CO2 Emissions Carbon Equivalent Mass [kg](Hourly)_our,WEST ZONE:Zone Air Temperature [C](TimeStep)_our,EAST ZONE:Zone Air Temperature [C](TimeStep)_our,WEST ZONE DEC OUTLET NODE:System Node Setpoint Temperature [C](TimeStep)_our,EAST AIR LOOP OUTLET NODE:System Node Setpoint Temperature [C](TimeStep)_our,WEST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly)_our,EAST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly)_our,Site:Environmental Impact Electricity CO Emissions Mass [kg](Hourly)_our,CH4:Facility [kg](Hourly)_our,PM2.5:Facility [kg](Hourly)_our,SO2:Facility [kg](Hourly)_our,NOx:Facility [kg](Hourly)_our,Reward_our,Unnamed: 0_easy,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep)_easy,Whole Building:Facility Total Electricity Demand Rate [W](Hourly)_easy,Site:Environmental Impact Total CO2 Emissions Carbon Equivalent Mass [kg](Hourly)_easy,WEST ZONE:Zone Air Temperature [C](TimeStep)_easy,EAST ZONE:Zone Air Temperature [C](TimeStep)_easy,WEST ZONE DEC OUTLET NODE:System Node Setpoint Temperature [C](TimeStep)_easy,EAST AIR LOOP OUTLET NODE:System Node Setpoint Temperature [C](TimeStep)_easy,WEST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly)_easy,EAST ZONE SUPPLY FAN:Fan Air Mass Flow Rate [kg/s](Hourly)_easy,Site:Environmental Impact Electricity CO Emissions Mass [kg](Hourly)_easy,CH4:Facility [kg](Hourly)_easy,PM2.5:Facility [kg](Hourly)_easy,SO2:Facility [kg](Hourly)_easy,NOx:Facility [kg](Hourly)_easy,Reward_easy
31,31,01/02  08:00:00,7.2,68759.0396787456,11.36284658761170,21.49391320809430,23.614915577306400,13.88136200000000,15.570737000000000,5.088440250000000,5.455358500000000,0.0104116148040654,0.0003461935687049,0.0028559562195652,0.2142965958484320,0.1016747345705900,-1.2263379168703600,31,7.2,108716.7845,17.96610525,20.95876738,23.59001431,15.433338,15.074571,6.238913033,6.475,0.016462087,0.000547376,0.00451563,0.338830166,0.160760683,0.59522755
32,32,01/02  09:00:00,10.6,99677.76045561240,16.472351934315100,24.97245982346150,23.152614290522300,14.599968,11.175278,5.154720750000000,5.303916250000000,0.0150933819210472,0.0005018656423049,0.0041401875485113,0.3106588580531920,0.147394580905527,-0.4764333650098860,32,10.6,129246.8462,21.35882194,23.71158018,24.62285839,14.96509,14.609637,6.238913033,6.475,0.019570785,0.000650742,0.005368361,0.402814805,0.191118707,0.175037377
33,33,01/02  10:00:00,11.7,110053.8217696870,18.187058734269600,23.420295235782100,24.424558206153400,14.495839000000000,10.000000000000000,5.1928205,5.44740525,0.0166645433870923,0.0005541078741948,0.0045711647259556,0.3429972186281760,0.1627377748321120,0.5831037563084090,33,11.7,132213.4813,21.84907631,23.34575537,24.9161219,14.904138,14.54201,6.238913033,6.475,0.020019998,0.000665679,0.005491582,0.412060714,0.195505503,-0.206074802
34,34,01/02  11:00:00,13.9,116138.16730628900,19.192533581525200,25.030209411838200,22.4748602573477,12.114516000000000,12.501027,5.036723750000000,5.405814750000000,0.0175858456966927,0.0005847418287176,0.0048238823985471,0.3619598821928680,0.1717347622880170,0.4194839203671550,34,13.9,131012.6362,21.65062941,23.81416659,24.9118509,14.911572,14.547966,6.238913033,6.475,0.019838164,0.000659633,0.005441704,0.408318122,0.1937298,-0.16700526
35,35,01/02  12:00:00,13.9,120102.46339435700,19.84765745304870,29.0731452198179,22.926801616190300,17.32591500000000,9.999999999999990,5.092138750000000,5.383631000000000,0.018186126387509,0.0006047015869769,0.0049885422908582,0.3743151326526960,0.17759680972784,0.0830599489247854,35,13.9,134854.1494,22.28546267,23.77926562,24.9516076,14.879035,14.518479,6.238913033,6.475,0.020419853,0.000678975,0.005601264,0.420290704,0.199410287,-0.175129051
36,36,01/02  13:00:00,13.9,120885.6959092460,19.977091356586300,23.28515569341060,22.118640493046000,14.885634000000000,10.000000000000000,5.1293055,5.35542475,0.0183047248334028,0.0006086450693281,0.0050210744172915,0.3767561798587460,0.1787549841065180,0.6931071642938440,36,13.9,136683.7958,22.58782278,23.68356326,25.01084271,14.869367,14.497771,6.238913033,6.475,0.020696901,0.000688187,0.00567726,0.425993037,0.202115805,-0.346577527
37,37,01/02  14:00:00,13.9,121711.60598569100,20.11357798492860,23.67005853217810,23.700043666258600,10.000000000000000,12.447544000000000,5.167544,5.4054145,0.0184297855907798,0.0006128034281145,0.0050553791869719,0.3793302373017530,0.1799762662563860,0.1383508230057870,37,13.9,130856.4596,21.62482027,23.09963271,24.98347234,14.873849,14.505878,6.238913033,6.475,0.019814515,0.000658847,0.005435217,0.407831377,0.19349886,-0.194805572
38,38,01/02  15:00:00,12.2,119677.38183432100,19.777410157908,24.718850557083700,23.39111404204900,15.522051000000000,13.781019000000000,5.1426755,5.358554250000000,0.0181217597895449,0.0006025613519918,0.0049708862222034,0.3729903100301110,0.1769682370341350,0.7619863406527410,38,12.2,133880.3982,22.12454439,24.04282771,24.97072809,14.876803,14.506936,6.238913033,6.475,0.020272406,0.000674072,0.005560819,0.41725588,0.197970391,-0.183563398
39,39,01/02  16:00:00,12.8,119121.6501834470,19.685572146175000,26.625409163449000,25.583008775974300,16.362342000000000,12.76440100000000,5.206663750000000,5.364345500000000,0.0180376099248818,0.0005997633093729,0.0049478035079575,0.371258299205876,0.1761464706400850,0.4833872879174060,39,12.8,128105.8629,21.17026757,23.36118034,24.92971671,14.892791,14.524712,6.238913033,6.475,0.019398015,0.000644998,0.005320969,0.399258781,0.189431523,-0.136948327
40,40,01/02  17:00:00,11.1,117154.03115735200,19.36041121837780,23.79684847402170,27.71687819028220,10.000000000000000,13.900108,5.204896500000000,5.318877000000000,0.017739669588941,0.0005898565821167,0.004866077035023,0.3651259555723870,0.1732369311359120,0.5496778987651400,40,11.1,128191.9908,21.18450072,23.40762588,24.91061222,14.901917,14.535075,6.238913033,6.475,0.019411057,0.000645431,0.005324547,0.39952721,0.189558881,-0.118930369
